id;name;molweight;critical temperature (K);acentric factor;boiling point (K)
92;1,1,1,2-tetrachloroethane;167.84868;624;0.242;403.65
93;1,1,1,2-tetrachloropropane;181.87556;646.86;0.28;423.15
94;1,1,1,2-tetrafluoroethane;102.0314928;374.18;0.327;247.08
95;1,1,1,2-tetrafluoropropane;116.0583728;414.81;0.277;272.15
96;1,1,1,2-tetraiodoethane;533.65576;972.04;0.224;614.49
97;1,1,1,2-tetraiodopropane;547.68264;992.1;0.239;636.93
98;1,1,1,3,3,3-hexafluoropropane;152.0392992;406.85;0.321;272.45
99;1,1,1,3,3-pentafluoropropane;134.048836;427.16;0.33;288.45
100;1,1,1,3-tetrabromopropane;359.68076;797.25;0.587;533.15
101;1,1,1,3-tetrachloropropane;181.87556;654.78;0.31;432.15
102;1,1,1,3-tetrafluoropropane;116.0583728;457.1;0.306;302.55
103;1,1,1,3-tetraiodopropane;547.68264;983.52;0.268;637.37
104;1,1,1-tribromo-2-methylpropane;294.81158;731.86;0.462;485.73
105;1,1,1-tribromobutane;294.81158;723.31;0.495;484.15
106;1,1,1-tribromodecane;378.97286;786.93;0.762;585.15
107;1,1,1-tribromododecane;407.02662;804.01;0.839;613.15
108;1,1,1-tribromoeicosane;519.24166;874.1;0.955;708.15
109;1,1,1-tribromoethane;266.75782;698.32;0.407;446.15
110;1,1,1-tribromoheptadecane;477.16102;847.65;0.96;676.15
111;1,1,1-tribromoheptane;336.89222;756.89;0.632;537.15
112;1,1,1-tribromohexadecane;463.13414;838.47;0.947;664.15
113;1,1,1-tribromohexane;322.86534;746.32;0.586;520.15
114;1,1,1-tribromononadecane;505.21478;864.19;0.964;697.15
115;1,1,1-tribromononane;364.94598;777.84;0.72;570.15
116;1,1,1-tribromooctadecane;491.1879;856.21;0.966;687.15
117;1,1,1-tribromooctane;350.9191;767.84;0.676;554.15
118;1,1,1-tribromopentadecane;449.10726;829.92;0.927;652.15
119;1,1,1-tribromopentane;308.83846;736.13;0.541;503.15
120;1,1,1-tribromopropane;280.7847;710.72;0.451;465.15
121;1,1,1-tribromotetradecane;435.08038;821.99;0.903;640.15
122;1,1,1-tribromotridecane;421.0535;813.37;0.873;627.15
123;1,1,1-tribromoundecane;392.99974;795.21;0.802;599.15
124;1,1,1-trichloro-2,2,2-trifluoroethane;187.3753096;483;0.267;319.2
125;1,1,1-trichloro-2,2-difluoroethane;169.3848464;530.7;0.288;346.15
126;1,1,1-trichloro-2-fluoroethane;151.3943832;565;0.25;366
127;1,1,1-trichloro-2-methylpropane;161.45768;631.61;0.271;415
128;1,1,1-trichlorobutane;161.45768;614.26;0.3;407.15
129;1,1,1-trichlorodecane;245.61896;724.19;0.561;535.15
130;1,1,1-trichlorododecane;273.67272;751.55;0.638;570.15
131;1,1,1-trichloroeicosane;385.88776;841.03;0.774;680.15
132;1,1,1-trichloroethane;133.40392;545;0.218;347.23
133;1,1,1-trichloroheptadecane;343.80712;808.7;0.766;643.15
134;1,1,1-trichloroheptane;203.53832;676.24;0.434;476.15
135;1,1,1-trichlorohexadecane;329.78024;798.28;0.75;630.15
136;1,1,1-trichlorohexane;189.51144;657.17;0.389;454.15
137;1,1,1-trichlorononadecane;371.86088;830.05;0.778;668.15
138;1,1,1-trichlorononane;231.59208;710.31;0.52;517.15
139;1,1,1-trichlorooctadecane;357.834;819.7;0.775;656.15
140;1,1,1-trichlorooctane;217.5652;693.91;0.477;497.15
141;1,1,1-trichloropentadecane;315.75336;787.14;0.729;616.15
142;1,1,1-trichloropentane;175.48456;635.09;0.345;430.15
143;1,1,1-trichloropropane;147.4308;585.43;0.256;379.15
144;1,1,1-trichlorotetradecane;301.72648;775.24;0.702;601.15
145;1,1,1-trichlorotridecane;287.6996;763.82;0.672;586.15
146;1,1,1-trichloroundecane;259.64584;738.37;0.601;553.15
147;1,1,1-trifluoro-2-methylpropane;112.0947896;432.9;0.269;285.06
148;1,1,1-trifluorobutane;112.0947896;425.8;0.368;289.85
149;1,1,1-trifluorodecane;196.2560696;600.1;0.533;442.15
150;1,1,1-trifluorododecane;224.3098296;638.2;0.597;481.15
151;1,1,1-trifluoroeicosane;336.5248696;743.4;0.746;597.15
152;1,1,1-trifluoroethane;84.0410296;345.88;0.261;225.81
153;1,1,1-trifluoroheptadecane;294.4442296;710.6;0.713;560.15
154;1,1,1-trifluoroheptane;154.1754296;527.9;0.439;374.15
155;1,1,1-trifluorohexadecane;280.4173496;698.2;0.682;545.15
156;1,1,1-trifluorohexane;140.1485496;498.2;0.409;348.15
157;1,1,1-trifluorononadecane;322.4979896;733.2;0.733;585.15
158;1,1,1-trifluorononane;182.2291896;578.4;0.505;421.15
159;1,1,1-trifluorooctadecane;308.4711096;722.3;0.668;569.15
160;1,1,1-trifluorooctane;168.2023096;554.5;0.467;398.15
161;1,1,1-trifluoropentadecane;266.3904696;684.8;0.658;530.15
162;1,1,1-trifluoropentane;126.1216696;464.5;0.383;320.15
163;1,1,1-trifluoropropane;98.0679096;392;0.301;260.15
164;1,1,1-trifluorotetradecane;252.3635896;670.4;0.645;515.15
165;1,1,1-trifluorotridecane;238.3367096;654.9;0.615;498.15
166;1,1,1-trifluoroundecane;210.2829496;620;0.564;462.15
168;1,1,1-triiodo-2-methylpropane;435.81299;874.42;0.24;566.67
169;1,1,1-triiodobutane;435.81299;867.15;0.269;567.11
170;1,1,1-triiododecane;519.97427;961.43;0.532;704.39
171;1,1,1-triiodododecane;548.02803;996.02;0.611;750.15
174;1,1,1-triiodoethane;407.75923;838.1;0.182;521.35
175;1,1,1-triiodoheptane;477.89363;912.73;0.403;635.75
177;1,1,1-triiodohexane;463.86675;897.23;0.358;612.87
178;1,1,1-triiodononane;505.94739;944.8;0.49;681.51
180;1,1,1-triiodooctane;491.92051;928.58;0.447;658.63
182;1,1,1-triiodopentane;449.83987;882.04;0.314;589.99
183;1,1,1-triiodopropane;421.78611;852.51;0.225;544.23
184;1,1,1-triiodotetradecane;576.08179;1032.58;0.679;795.91
185;1,1,1-triiodotridecane;562.05491;1014.03;0.647;773.03
186;1,1,1-triiodoundecane;534.00115;978.49;0.573;727.27
187;1,1,2,2,3,3-hexafluoropropane;152.0392992;417.09;0.358;283.15
188;1,1,2,2,3-pentafluoropropane;134.048836;447.44;0.33;299.15
189;1,1,2,2-tetrabromoethane;345.65388;824;0.147;516.65
190;1,1,2,2-tetrabromopropane;359.68076;766.37;0.552;508.15
191;1,1,2,2-tetrachloro-1,2-difluoroethane;203.8296064;551;0.279;366
192;1,1,2,2-tetrachloro-1-fluoroethane;185.8391432;598;0.289;389.75
193;1,1,2,2-tetrachloroethane;167.84868;645;0.247;418.25
194;1,1,2,2-tetrachloropropane;181.87556;654.51;0.28;428.15
195;1,1,2,2-tetrafluoroethane;102.0314928;391.8;0.266;250.15
196;1,1,2,2-tetrafluoropropane;116.0583728;457.26;0.277;300
197;1,1,2,2-tetraiodoethane;533.65576;963.61;0.261;619.12
198;1,1,2,2-tetraiodopropane;547.68264;992.1;0.239;636.93
199;1,1,2,2-tetramethylcyclopentane;126.24192;609.38;0.258;406.15
200;1,1,2,2-tetraphenylethane;334.46068;827;0.732;633.15
