id;name;molweight;critical temperature (K);acentric factor;boiling point (K)
1565;2,2-diiodopentane;323.94334;752.99;0.271;496.85
1566;2,2-diiodopropane;295.88958;709.92;0.183;446.15
1567;2,2-dimethyl,3,3-diethylhexane;170.33844;655.89;0.403;473.15
1568;2,2-dimethyl-1,3-butanediol;118.17596;630.45;1.105;475.55
1569;2,2-dimethyl-1,3-propanediamine;102.17964;637.67;0.591;426.15
1570;2,2-dimethyl-1,4-butanediol;118.17596;636.35;1.105;480
1571;2,2-dimethyl-1-butanol;102.17656;589;0.518;409.95
1572;2,2-dimethyl-1-heptanol;144.2572;623;0.78;465.15
1573;2,2-dimethyl-1-hexanol;130.23032;605.29;0.738;445.65
1574;2,2-dimethyl-1-octanol;158.28408;636.2;0.819;481.15
1575;2,2-dimethyl-1-pentanol;116.20344;587.65;0.695;426.15
1576;2,2-dimethyl-1-propanethiol;104.21628;570;0.281;376.83
1577;2,2-dimethyl-1-propanol;88.14968;550;0.604;386.25
1578;2,2-dimethyl-3,3-diethylpentane;156.31156;651.51;0.361;462.15
1579;2,2-dimethyl-3,4-diethylhexane;170.33844;638.14;0.432;463.15
1580;2,2-dimethyl-3-butanone;100.16068;576.61;0.362;394.21
1581;2,2-dimethyl-3-ethyl-1-pentanol;144.2572;620.7;0.748;461
1582;2,2-dimethyl-3-ethyl-3-pentanol;144.2572;608.69;0.682;447.15
1583;2,2-dimethyl-3-ethylheptane;156.31156;624.99;0.419;449.15
1584;2,2-dimethyl-3-ethyloctane;170.33844;642.55;0.461;469.15
1585;2,2-dimethyl-3-ethylpentane;128.2578;590;0.335;406.99
1586;2,2-dimethyl-3-heptanol;144.2572;607.23;0.748;451
1587;2,2-dimethyl-3-hexanol;130.23032;586.35;0.706;429.25
1588;2,2-dimethyl-3-hexanone;128.21444;624;0.528;419.15
1589;2,2-dimethyl-3-isopropylheptane;170.33844;638.14;0.432;463.15
1590;2,2-dimethyl-3-isopropylhexane;156.31156;623.44;0.391;445.15
1591;2,2-dimethyl-3-octanol;158.28408;620.48;0.788;467
1592;2,2-dimethyl-3-octyne;138.25292;642.22;0.417;443.65
1593;2,2-dimethyl-3-pentanol;116.20344;567.71;0.662;409.15
1594;2,2-dimethyl-3-pentanone;114.18756;580.9;0.387;398.15
1595;2,2-dimethyl-3-tert-butylhexane;170.33844;654.48;0.375;469.15
1596;2,2-dimethyl-3-thiapentane;118.24316;588;0.286;393.56
1597;2,2-dimethyl-4,4-diethylhexane;170.33844;655.89;0.403;473.15
1598;2,2-dimethyl-4-ethyl-3-hexanol;158.28408;614.44;0.757;460.15
1599;2,2-dimethyl-4-ethylheptane;156.31156;613.86;0.419;441.15
1600;2,2-dimethyl-4-ethyloctane;170.33844;630.23;0.461;460.15
1601;2,2-dimethyl-4-heptanol;144.2572;602.05;0.748;447.15
1602;2,2-dimethyl-4-isopropylheptane;170.33844;627.12;0.432;455.15
1603;2,2-dimethyl-4-octanol;158.28408;615.36;0.788;463.15
1604;2,2-dimethyl-4-propylheptane;170.33844;626.12;0.461;457.15
1605;2,2-dimethyl-5-ethylheptane;156.31156;619.43;0.419;445.15
1606;2,2-dimethyl-5-ethyloctane;170.33844;632.97;0.461;462.15
1607;2,2-dimethyl-6-ethyloctane;170.33844;638.44;0.461;466.15
1608;2,2-dimethyl-cis-3-hexene;112.21504;559.69;0.287;378.58
1609;2,2-dimethyl-trans-3-hexene;112.21504;552.92;0.287;374
1610;2,2-dimethylbutanal;100.16068;558.82;0.37;377.15
1611;2,2-dimethylbutane;86.17716;489;0.234;322.88
1612;2,2-dimethylbutanenitrile;97.16008;588.3;0.379;402.15
1613;2,2-dimethylbutanoic acid;116.16008;653;0.567;460.15
1614;2,2-dimethyldecane;170.33844;645.65;0.489;474.15
1615;2,2-dimethyldodecane;198.3922;679.98;0.566;513.15
1616;2,2-dimethylheptadecane;268.5266;746.87;0.701;592.15
1617;2,2-dimethylheptane;128.2578;576.7;0.391;405.84
1618;2,2-dimethylhexadecane;254.49972;734.97;0.683;578.15
1619;2,2-dimethylhexane;114.23092;549.8;0.338;379.99
1620;2,2-dimethylnonane;156.31156;626.62;0.448;453.15
1621;2,2-dimethyloctadecane;282.55348;759.27;0.713;606.15
1622;2,2-dimethyloctane;142.28468;602;0.429;430.05
1623;2,2-dimethyloctanoic acid;172.2676;713;0.877;473.73
1624;2,2-dimethyloxirane;72.10692;521;0.171;324.65
1625;2,2-dimethylpentadecane;240.47284;722.25;0.66;563.15
1626;2,2-dimethylpentane;100.20404;520.5;0.287;352.34
1627;2,2-dimethylpropanal;86.1338;525.74;0.325;347.15
1628;2,2-dimethylpropanenitrile;83.1332;565.78;0.335;378.75
1629;2,2-dimethylpropanoic acid;102.1332;632;0.513;436.95
1630;2,2-dimethylpropyl butanoate;158.24072;607;0.822;460.31
1631;2,2-dimethylpropyl formate;116.16008;575;0.348;390.97
1632;2,2-dimethylpropyl propanoate;144.21384;593;0.677;437.43
1633;2,2-dimethylpropylamine;87.16496;517.1;0.384;350.15
1634;2,2-dimethyltetradecane;226.44596;708.68;0.632;547.15
1635;2,2-dimethyltetrahydrofuran;100.16068;563.41;0.269;365.35
1636;2,2-dimethylthiacyclohexane;130.25416;657.02;0.249;427.18
1637;2,2-dimethylthiacyclopentane;116.22728;623.18;0.235;400.03
1638;2,2-dimethylthiacyclopropane;88.17352;574.84;0.206;359.15
1639;2,2-dimethyltridecane;212.41908;694.17;0.601;530.15
1640;2,2-dimethylundecane;184.36532;663.4;0.529;494.15
1641;2,2-diphenylpropane;196.29204;788.27;0.43;554.34
1642;2,3'-trimethylbiphenyl;182.26516;781.7;0.495;547.15
1643;2,3,3,4,4,5-hexamethylhexane;170.33844;672.82;0.347;479.15
1644;2,3,3,4,4-pentamethylheptane;170.33844;664.25;0.375;476.15
1645;2,3,3,4,4-pentamethylhexane;156.31156;653.15;0.333;460.15
1646;2,3,3,4,5-pentamethylheptane;170.33844;655.95;0.404;473.15
1647;2,3,3,4,5-pentamethylhexane;156.31156;640.29;0.362;454.15
1648;2,3,3,4,6-pentamethylheptane;170.33844;649.01;0.404;468.15
1649;2,3,3,4-tetramethyl-2-pentanol;144.2572;620.23;0.651;453
1650;2,3,3,4-tetramethyl-4-ethylhexane;170.33844;671.22;0.375;481.15
1651;2,3,3,4-tetramethylheptane;156.31156;637.45;0.391;455.15
1652;2,3,3,4-tetramethylhexane;142.28468;633.1;0.334;437.75
1653;2,3,3,4-tetramethyloctane;170.33844;653.29;0.432;474.15
1654;2,3,3,4-tetramethylpentane;128.2578;607.5;0.314;414.7
1655;2,3,3,5,5-pentamethylheptane;170.33844;660.06;0.375;473.15
1656;2,3,3,5,6-pentamethylheptane;170.33844;644.85;0.404;465.15
1657;2,3,3,5-tetramethyl-4-ethylhexane;170.33844;651.79;0.404;470.15
1658;2,3,3,5-tetramethylheptane;156.31156;629.04;0.391;449.15
1659;2,3,3,5-tetramethylhexane;142.28468;610.1;0.351;426.26
1660;2,3,3,5-tetramethyloctane;170.33844;643.65;0.432;467.15
1661;2,3,3,6-tetramethylheptane;156.31156;627.64;0.391;448.15
1662;2,3,3,6-tetramethyloctane;170.33844;646.41;0.432;469.15
1663;2,3,3,7-tetramethyloctane;170.33844;646.41;0.432;469.15
1664;2,3,3-tribromobutane;294.81158;721.95;0.462;479.15
1665;2,3,3-trichlorobutane;161.45768;633.36;0.271;416.15
1666;2,3,3-trifluorobutane;112.0947896;432.9;0.269;285.06
1667;2,3,3-trimethyl-1-butanol;116.20344;601.01;0.662;433.15
1668;2,3,3-trimethyl-1-butene;98.18816;531;0.239;351.04
1669;2,3,3-trimethyl-1-pentanol;130.23032;613.33;0.706;449
1670;2,3,3-trimethyl-1-pentene;112.21504;565.71;0.272;381.46
1671;2,3,3-trimethyl-2-butanol;116.20344;568.02;0.595;404.15
1672;2,3,3-trimethyl-2-pentanol;130.23032;598.76;0.639;433.15
1673;2,3,3-trimethyl-4-ethylheptane;170.33844;650.54;0.432;472.15
1674;2,3,3-trimethyl-4-ethylhexane;156.31156;638.85;0.391;456.15
1675;2,3,3-trimethyl-5-ethylheptane;170.33844;643.65;0.432;467.15
1676;2,3,3-trimethylheptane;142.28468;617.5;0.371;433.36
1677;2,3,3-trimethylhexane;128.2578;596;0.333;410.84
1678;2,3,3-trimethylnonane;170.33844;650.77;0.461;475.15
1679;2,3,3-trimethyloctane;156.31156;633.34;0.419;455.15
1680;2,3,3-trimethylpentane;114.23092;573.5;0.29;387.92
1681;2,3,4,4,5-pentamethylheptane;170.33844;655.95;0.404;473.15
1682;2,3,4,4,6-pentamethylheptane;170.33844;642.08;0.404;463.15
1683;2,3,4,4-tetramethyl-2-hexanol;158.28408;624.93;0.693;463.15
1684;2,3,4,4-tetramethyl-2-pentanol;144.2572;620.23;0.651;453
1685;2,3,4,4-tetramethyl-3-ethylhexane;170.33844;671.22;0.375;481.15
1686;2,3,4,4-tetramethyl-3-hexanol;158.28408;639.77;0.693;474.15
1687;2,3,4,4-tetramethylheptane;156.31156;631.84;0.391;451.15
1688;2,3,4,4-tetramethylhexane;142.28468;626.6;0.339;434.76
1689;2,3,4,4-tetramethyloctane;170.33844;646.41;0.432;469.15
1690;2,3,4,5,5-pentamethylheptane;170.33844;651.79;0.404;470.15
1691;2,3,4,5,6-pentamethylheptane;170.33844;645.08;0.434;468.15
1692;2,3,4,5-tetramethyl-3-ethylhexane;170.33844;657.33;0.404;474.15
1693;2,3,4,5-tetramethylaniline;149.23584;690;0.69;532.65
1694;2,3,4,5-tetramethylheptane;156.31156;629.22;0.421;452.15
1695;2,3,4,5-tetramethylhexane;142.28468;613.2;0.365;429.36
1696;2,3,4,5-tetramethyloctane;170.33844;643.97;0.462;470.15
1697;2,3,4,5-tetramethylphenol;150.22056;757.92;0.538;533.15
1698;2,3,4,6-tetramethylaniline;149.23584;690;0.69;528.15
1699;2,3,4,6-tetramethylheptane;156.31156;622.26;0.421;447.15
1700;2,3,4,6-tetramethyloctane;170.33844;641.23;0.462;468.15
1701;2,3,4,6-tetramethylphenol;150.22056;743.7;0.538;523.15
1702;2,3,4,7-tetramethyloctane;170.33844;639.86;0.462;467.15
1703;2,3,4-trimethyl-1-pentanol;130.23032;619.59;0.741;456.15
1704;2,3,4-trimethyl-1-pentene;112.21504;557.76;0.308;381.15
1705;2,3,4-trimethyl-2-hexanol;144.2572;630.85;0.716;466
1706;2,3,4-trimethyl-2-pentanol;130.23032;592.43;0.674;431.15
1707;2,3,4-trimethyl-2-pentene;112.21504;574.12;0.297;389.41
1708;2,3,4-trimethyl-3-ethylheptane;170.33844;656.05;0.432;476.15
1709;2,3,4-trimethyl-3-ethylhexane;156.31156;644.45;0.391;460.15
1710;2,3,4-trimethyl-3-hexanol;144.2572;594.3;0.716;439
1711;2,3,4-trimethyl-3-isopropylhexane;170.33844;661.49;0.404;477.15
1712;2,3,4-trimethyl-3-isopropylpentane;156.31156;647.34;0.362;459.15
1713;2,3,4-trimethyl-3-pentanol;130.23032;591.06;0.674;430.15
1714;2,3,4-trimethyl-4-ethylheptane;170.33844;649.16;0.432;471.15
1715;2,3,4-trimethyl-4-ethylhexane;156.31156;634.64;0.391;453.15
1716;2,3,4-trimethyl-5-ethylheptane;170.33844;643.97;0.462;470.15
1717;2,3,4-trimethylheptane;142.28468;613.7;0.391;433.06
1718;2,3,4-trimethylhexane;128.2578;594.5;0.353;412.2
1719;2,3,4-trimethylnonane;170.33844;644.34;0.491;473.15
1720;2,3,4-trimethyloctane;156.31156;626.67;0.449;453.15
1721;2,3,4-trimethylpentane;114.23092;566.4;0.315;386.62
1722;2,3,4-trimethylphenol;136.19368;739.96;0.494;510.15
1723;2,3,4-trimethylpyridine;121.18208;653;0.376;465.65
1724;2,3,4-trimethylthiophene;126.2224;654.54;0.431;445.85
1725;2,3,5,5-tetramethyl-3-hexanol;158.28408;640.92;0.693;475
1726;2,3,5,5-tetramethylheptane;156.31156;623.44;0.391;445.15
1727;2,3,5,5-tetramethyloctane;170.33844;645.03;0.432;468.15
1728;2,3,5,6-tetramethylheptane;156.31156;623.65;0.421;448.15
1729;2,3,5,6-tetramethyloctane;170.33844;641.23;0.462;468.15
1730;2,3,5,6-tetramethylphenol;150.22056;740.86;0.538;521.15
1731;2,3,5,7-tetramethyloctane;170.33844;634.39;0.462;463.15
1732;2,3,5-trimethyl-3-ethylheptane;170.33844;648.47;0.432;470.65
1733;2,3,5-trimethyl-3-ethylhexane;156.31156;629.04;0.391;449.15
1734;2,3,5-trimethyl-3-hexanol;144.2572;594.3;0.716;439
1735;2,3,5-trimethyl-3-isopropylhexane;170.33844;647.63;0.404;467.15
1736;2,3,5-trimethyl-4-ethylheptane;170.33844;642.6;0.462;469.15
1737;2,3,5-trimethyl-4-ethylhexane;156.31156;626.44;0.421;450.15
1738;2,3,5-trimethyl-4-isopropylhexane;170.33844;638.19;0.434;463.15
1739;2,3,5-trimethyl-5-ethylheptane;170.33844;643.65;0.432;467.15
1740;2,3,5-trimethylheptane;142.28468;612.8;0.397;433.86
1741;2,3,5-trimethylhexane;128.2578;579.2;0.364;404.5
1742;2,3,5-trimethylnonane;170.33844;638.89;0.491;469.15
1743;2,3,5-trimethyloctane;156.31156;622.52;0.449;450.15
1744;2,3,5-trimethylphenol;136.19368;737.64;0.494;508.55
1745;2,3,5-trimethylpyridine;121.18208;653;0.376;457.15
1746;2,3,5-trimethylthiophene;126.2224;656.26;0.341;437.65
1747;2,3,6,6-tetramethyloctane;170.33844;642.27;0.432;466.15
1748;2,3,6,7-tetramethylnaphthalene;184.28104;810.54;0.535;585.41
1749;2,3,6,7-tetramethyloctane;170.33844;642.6;0.462;469.15
1750;2,3,6-trichlorotoluene;195.4748;737;0.26;483.65
1751;2,3,6-trimethyl-3-ethylheptane;170.33844;646.41;0.432;469.15
1752;2,3,6-trimethyl-3-heptanol;158.28408;618.25;0.757;463
1753;2,3,6-trimethyl-4-ethylheptane;170.33844;634.39;0.462;463.15
1754;2,3,6-trimethyl-5-ethylheptane;170.33844;638.5;0.462;466.15
1755;2,3,6-trimethylheptane;142.28468;604.1;0.403;429.16
1756;2,3,6-trimethylnaphthalene;170.25416;775.49;0.492;550.15
1757;2,3,6-trimethylnonane;170.33844;641.61;0.491;471.15
1758;2,3,6-trimethyloctane;156.31156;626.67;0.449;453.15
1759;2,3,6-trimethylphenol;136.19368;739.74;0.494;510
1760;2,3,6-trimethylpyridine;121.18208;653;0.376;444.75
1761;2,3,7-trimethylnonane;170.33844;645.7;0.491;474.15
1762;2,3,7-trimethyloctane;156.31156;625.29;0.449;452.15
1763;2,3,8-trimethylnonane;170.33844;644.34;0.491;473.15
1764;2,3-butanediamine, (R*,R*)-(±);88.15276;612.33;0.533;396.09
1765;2,3-dibromo-2,3-dimethylbutane;243.96928;684.21;0.526;486.03
1766;2,3-dibromo-2-methylbutane;229.9424;668.37;0.377;444.01
1767;2,3-dibromobutane;215.91552;657.46;0.415;434.15
1768;2,3-dibromoheptane;257.99616;700.05;0.571;510.82
1769;2,3-dibromohexane;243.96928;684.21;0.526;469.15
1770;2,3-dibromopentane;229.9424;668.68;0.448;451.65
1771;2,3-dichloro-1-butene;124.99704;640;0.302;385.15
1772;2,3-dichloro-1-propanol;128.98544;647;0.699;457.15
1773;2,3-dichloro-2-methylbutane;141.0398;633.42;0.262;402.15
1774;2,3-dichlorobutane, dl and meso;127.01292;599;0.268;392.65
1775;2,3-dichlorohexane;155.06668;633.09;0.397;436.65
1776;2,3-dichlorooctane;183.12044;672.06;0.485;479.15
1777;2,3-dichloropentane;141.0398;614.06;0.323;412.15
1778;2,3-dichloropropene;110.97016;578;0.194;366.5
1779;2,3-dichlorotoluene;161.03004;710;0.343;480.65
1780;2,3-diethylnaphthalene;184.28104;812.35;0.537;585.41
1781;2,3-diethylphenol;150.22056;719.7;0.541;505
1782;2,3-difluoro-2-methylbutane;108.1312064;467.07;0.261;308.67
1783;2,3-difluorobutane;94.1043264;487.02;0.277;320.15
1784;2,3-difluoropentane;108.1312064;491;0.321;330
1785;2,3-dihydro-1,1,4,6-tetramethyl-1H-indene;174.28592;749.21;0.468;525.62
1786;2,3-dihydro-1,1,4,7-tetramethyl-1H-indene;174.28592;749.21;0.468;525.62
1787;2,3-dihydrofuran;70.09104;524;0.226;327.65
1788;2,3-diiodo-2-methylbutane;323.94334;759.04;0.242;496.41
1789;2,3-diiodobutane;309.91646;732.32;0.258;476.32
1790;2,3-diiodopentane;323.94334;750.13;0.302;499.2
1791;2,3-dimethyl-(1-thiaethyl)-benzene;152.26028;743.84;0.415;510.74
1792;2,3-dimethyl-1,2-butanediol;118.17596;636.35;1.105;480
1793;2,3-dimethyl-1,3-butadiene;82.1454;526;0.214;341.93
1794;2,3-dimethyl-1,3-butanediol;118.17596;636.35;1.105;480
1795;2,3-dimethyl-1-butanol;102.17656;599;0.576;422.15
1796;2,3-dimethyl-1-butanol, (±)-;102.17656;581.8;0.582;417.65
1797;2,3-dimethyl-1-butene;84.16128;501;0.233;328.76
1798;2,3-dimethyl-1-hexanol;130.23032;603.81;0.773;447
1799;2,3-dimethyl-1-hexene;112.21504;561;0.325;383.65
1800;2,3-dimethyl-1-pentanol;116.20344;599.26;0.731;437.15
1801;2,3-dimethyl-1-pentene;98.18816;532.72;0.288;357.43
1802;2,3-dimethyl-2,3-butanediol;118.17596;597.11;1.03;445.95
1803;2,3-dimethyl-2,3-diphenylbutane;238.37268;805;0.521;589
1804;2,3-dimethyl-2,3-pentanediol;132.20284;695.12;1.069;525.85
1805;2,3-dimethyl-2-butanethiol;118.24316;615;0.353;407.26
1806;2,3-dimethyl-2-butanol;102.17656;564.4;0.496;391.75
1807;2,3-dimethyl-2-butene;84.16128;528;0.224;346.35
1808;2,3-dimethyl-2-ethyl-1-butanol;130.23032;609.23;0.706;446
1809;2,3-dimethyl-2-heptanol;144.2572;612.62;0.748;455
1810;2,3-dimethyl-2-heptene;126.24192;593.62;0.411;418.35
1811;2,3-dimethyl-2-hexanol;130.23032;591.82;0.706;433.25
1812;2,3-dimethyl-2-hexene;112.21504;577.66;0.326;394.92
1813;2,3-dimethyl-2-pentanol;116.20344;571.87;0.662;412.15
1814;2,3-dimethyl-2-pentene;98.18816;553.47;0.282;370.55
1815;2,3-dimethyl-2-tert-butyl-1-butanol;158.28408;628.77;0.693;466
1816;2,3-dimethyl-3,4-diethylhexane;170.33844;657.43;0.432;477.15
1817;2,3-dimethyl-3-ethyl-2-pentanol;144.2572;627.54;0.682;461
1818;2,3-dimethyl-3-ethylheptane;156.31156;630.56;0.419;453.15
1819;2,3-dimethyl-3-ethyloctane;170.33844;650.77;0.461;475.15
1820;2,3-dimethyl-3-ethylpentane;128.2578;606.8;0.349;417.86
1821;2,3-dimethyl-3-heptanol;144.2572;602.05;0.748;447.15
1822;2,3-dimethyl-3-hexanol;130.23032;589.22;0.706;431.35
1823;2,3-dimethyl-3-isopropylheptane;170.33844;653.29;0.432;474.15
1824;2,3-dimethyl-3-isopropylhexane;156.31156;634.64;0.391;453.15
1825;2,3-dimethyl-3-octanol;158.28408;614.17;0.788;462.25
1826;2,3-dimethyl-3-pentanol;116.20344;573.26;0.662;413.15
1827;2,3-dimethyl-4,4-diethylhexane;170.33844;657.43;0.432;477.15
1828;2,3-dimethyl-4-ethylheptane;156.31156;625.29;0.449;452.15
1829;2,3-dimethyl-4-ethyloctane;170.33844;640.25;0.491;470.15
1830;2,3-dimethyl-4-ethylphenol;150.22056;725.91;0.54;510
1831;2,3-dimethyl-4-isopropylheptane;170.33844;637.13;0.462;465.15
1832;2,3-dimethyl-4-propylheptane;170.33844;636.16;0.491;467.15
1833;2,3-dimethyl-5-ethylheptane;156.31156;623.9;0.449;451.15
1834;2,3-dimethyl-5-ethyloctane;170.33844;636.16;0.491;467.15
1835;2,3-dimethyl-5-ethylphenol;150.22056;725.91;0.54;510
1836;2,3-dimethyl-6-ethyloctane;170.33844;642.97;0.491;472.15
1837;2,3-dimethyl-6-ethylphenol;150.22056;725.91;0.54;510
1838;2,3-dimethyl-cis-3-hexene;112.21504;567.08;0.322;387.15
1839;2,3-dimethyl-trans-3-hexene;112.21504;567.08;0.322;387.15
1840;2,3-dimethylaniline;121.18208;695.58;0.433;494.65
1841;2,3-dimethylbiphenyl;182.26516;802;0.416;551.15
1842;2,3-dimethylbutanal;100.16068;567.64;0.402;386.15
1843;2,3-dimethylbutane;86.17716;500;0.25;331.13
1844;2,3-dimethylbutanenitrile;97.16008;582.4;0.412;401.15
1845;2,3-dimethylbutanoic acid;116.16008;661;0.652;464.85
1846;2,3-dimethyldecane;170.33844;648.85;0.519;479.15
1847;2,3-dimethyldodecane;198.3922;686.04;0.595;520.15
1848;2,3-dimethylfuran;96.12892;559.41;0.332;367.65
1849;2,3-dimethylheptadecane;268.5266;754.89;0.722;600.15
1850;2,3-dimethylheptane;128.2578;589.6;0.385;413.66
1851;2,3-dimethylhexadecane;254.49972;742.82;0.706;586.15
1852;2,3-dimethylhexane;114.23092;563.5;0.346;388.76
1853;2,3-dimethylnaphthalene;156.22728;777.78;0.443;541.16
1854;2,3-dimethylnonane;156.31156;631.11;0.478;459.15
1855;2,3-dimethyloctadecane;282.55348;767.45;0.732;614.15
1856;2,3-dimethyloctane;142.28468;613;0.433;437.47
1857;2,3-dimethylpentadecane;240.47284;729.97;0.685;571.15
1858;2,3-dimethylpentane;100.20404;537.3;0.296;362.93
1859;2,3-dimethylpyridine;107.1552;655.4;0.358;434.35
1860;2,3-dimethylquinoline;157.21508;774.45;0.497;536.15
1861;2,3-dimethylstyrene;132.20528;679.34;0.375;465.57
1862;2,3-dimethyltetradecane;226.44596;716.26;0.659;555.15
1863;2,3-dimethyltetrahydrofuran;100.16068;563.4;0.282;370
1864;2,3-dimethylthiophene;112.19552;635.3;0.297;414.75
1865;2,3-dimethylthiophenol;138.2334;730.98;0.373;489.45
1866;2,3-dimethyltridecane;212.41908;701.64;0.629;538.15
1867;2,3-dimethylundecane;184.36532;669.37;0.558;501.15
1868;2,3-diphenyl-1-propene;194.27616;796.49;0.465;562.15
1869;2,3-hexadiene;82.1454;523.91;0.253;341.15
1870;2,3-pentadiene;68.11852;497;0.218;321.4
1871;2,3-xylenol;122.1668;722.95;0.516;490.07
1872;2,4'-dimethlbiphenyl;182.26516;788.2;0.455;547.15
1873;2,4,4,5,5-pentamethylheptane;170.33844;654.48;0.375;469.15
1874;2,4,4,5-tetramethyl-3-hexanol;158.28408;637.55;0.726;475
1875;2,4,4,5-tetramethylheptane;156.31156;626.24;0.391;447.15
1876;2,4,4,5-tetramethyloctane;170.33844;639.52;0.432;464.15
1877;2,4,4,6-tetramethylheptane;156.31156;612.24;0.391;437.15
1878;2,4,4,6-tetramethyloctane;170.33844;631.25;0.432;458.15
1879;2,4,4,7-tetramethyloctane;170.33844;629.87;0.432;457.15
1880;2,4,4-trimethyl-1-pentanol;130.23032;606.71;0.706;444.15
1881;2,4,4-trimethyl-1-pentene;112.21504;550;0.301;374.59
1882;2,4,4-trimethyl-2-hexanol;144.2572;634.35;0.682;466
1883;2,4,4-trimethyl-2-pentanol;130.23032;579.96;0.639;419.55
1884;2,4,4-trimethyl-2-pentene;112.21504;555;0.297;378.06
1885;2,4,4-trimethyl-3-ethylheptane;170.33844;643.65;0.432;467.15
1886;2,4,4-trimethyl-3-ethylhexane;156.31156;631.84;0.391;451.15
1887;2,4,4-trimethyl-3-hexanol;144.2572;601.27;0.716;444.15
1888;2,4,4-trimethyl-3-isopropylhexane;170.33844;644.85;0.404;465.15
1889;2,4,4-trimethyl-5-ethylheptane;170.33844;640.89;0.432;465.15
1890;2,4,4-trimethylheptane;142.28468;600.3;0.383;424.16
1891;2,4,4-trimethylhexane;128.2578;581;0.352;403.81
1892;2,4,4-trimethylnonane;170.33844;634.33;0.461;463.15
1893;2,4,4-trimethyloctane;156.31156;618.03;0.419;444.15
1894;2,4,4-trimethylpentene;112.21504;564.74;0.328;376.15
1895;2,4,5,5-tetramethylheptane;156.31156;629.04;0.391;449.15
1896;2,4,5,5-tetramethyloctane;170.33844;640.89;0.432;465.15
1897;2,4,5,6-tetramethyloctane;170.33844;639.86;0.462;467.15
1898;2,4,5,7-tetramethyloctane;170.33844;629.32;0.462;459.45
1899;2,4,5-trimethyl-2-hexanol;144.2572;630.85;0.716;466
1900;2,4,5-trimethyl-3-ethylheptane;170.33844;642.6;0.462;469.15
1901;2,4,5-trimethyl-4-ethylheptane;170.33844;645.03;0.432;468.15
1902;2,4,5-trimethyl-4-heptanol;158.28408;607.56;0.757;455
1903;2,4,5-trimethyl-5-ethylheptane;170.33844;647.78;0.432;470.15
1904;2,4,5-trimethylaniline;135.20896;705.58;0.413;507.65
1905;2,4,5-trimethylheptane;142.28468;606.9;0.397;429.66
1906;2,4,5-trimethylnonane;170.33844;637.53;0.491;468.15
1907;2,4,5-trimethyloctane;156.31156;621.14;0.449;449.15
1908;2,4,5-trimethylphenol;136.19368;737.64;0.494;508.55
1909;2,4,5-trimethylpyridine;121.18208;653;0.376;461.15
1910;2,4,6,6-tetramethyloctane;170.33844;634;0.432;460.15
1911;2,4,6-trimethyl-2-heptanol;158.28408;622.25;0.757;466
1912;2,4,6-trimethyl-3-ethylheptane;170.33844;635.76;0.462;464.15
1913;2,4,6-trimethyl-3-heptene, isomer;140.2688;616.98;0.457;439.96
1914;2,4,6-trimethyl-4-ethylheptane;170.33844;631.25;0.432;458.15
1915;2,4,6-trimethyl-4-heptanol;158.28408;607.76;0.757;455.15
1916;2,4,6-trimethylaniline;135.20896;705.58;0.413;505.65
1917;2,4,6-trimethylheptane;142.28468;590.3;0.411;420.76
1918;2,4,6-trimethylnonane;170.33844;633.44;0.491;465.15
1919;2,4,6-trimethyloctane;156.31156;618.37;0.449;447.15
1920;2,4,6-trimethylphenol;136.19368;716.46;0.494;493.95
1921;2,4,6-trimethylpyridine;121.18208;653;0.375;443.7
1922;2,4,6-trinitrotoluene;227.13332;828;0.897;625
1923;2,4,7-trimethylnonane;170.33844;636.16;0.491;467.15
1924;2,4,7-trimethyloctane;156.31156;614.22;0.449;444.15
1925;2,4,8-trimethylnonane;170.33844;632.08;0.491;464.15
1926;2,4-bis(1-methylethyl)phenol;178.27432;755.67;0.59;524.28
1927;2,4-di-tert-butyl-5-methylphenol;220.35496;738.5;0.793;555.15
1928;2,4-di-tert-butyl-6-methylphenol;220.35496;738.5;0.793;542.15
1929;2,4-di-tert-butylphenol;206.32808;765;0.631;536.65
1930;2,4-dibromopentane;229.9424;673.87;0.448;455.15
1931;2,4-dichloro-2,4-dimethylpentane;169.09356;654.02;0.442;454.15
1932;2,4-dichlorobenzotrifluoride;215.0014296;646;0.434;450.65
1933;2,4-dichlorobenzyl chloride;195.4748;737;0.26;521.15
1934;2,4-dichloropentane;141.0398;628.96;0.323;422.15
1935;2,4-dichlorotoluene;161.03004;705;0.359;474.25
1936;2,4-diethylphenol;150.22056;714.21;0.541;501.15
1937;2,4-difluoropentane;108.1312064;491;0.321;330
1938;2,4-diiodopentane;323.94334;750.13;0.302;499.2
1939;2,4-dimethyl-(1-thiaethyl)-benzene;152.26028;743.84;0.415;510.74
1940;2,4-dimethyl-1-ethylnaphthalene;184.28104;811.44;0.536;585.41
1941;2,4-dimethyl-1-hexanol;130.23032;605.36;0.773;448.15
1942;2,4-dimethyl-1-hexene;112.21504;561.06;0.332;384.35
1943;2,4-dimethyl-1-pentanol;116.20344;592.4;0.731;432.15
1944;2,4-dimethyl-1-pentanol, (±);116.20344;587.2;0.709;432.15
1945;2,4-dimethyl-1-pentene;98.18816;528.74;0.288;354.76
1946;2,4-dimethyl-1-sec-butylbenzene;162.27492;697.15;0.437;481.77
